track_id,frame_id,label,X,Y,Z,img_name,x,y,r,xrep,yrep,error,R3D
0,55,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_55.png,345.036,934.873,22.2552,344.714,930.386,4.49882,0.54922
0,72,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,333.702,847.917,NULL,0.54922
0,62,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_62.png,310.355,911.705,23.693,308.584,907.737,4.34598,0.54922
0,44,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_44.png,383.015,857.694,20.7411,383.394,854.253,3.4621,0.54922
0,50,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_50.png,367.94,902.825,21.0569,368.822,899.391,3.54567,0.54922
0,45,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_45.png,380.177,864.522,22.0853,377.885,860.606,4.53733,0.54922
0,77,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,334.086,842.938,NULL,0.54922
0,3,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_3.png,429.322,725.344,19.6797,430.312,728.044,2.87473,0.54922
0,15,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_15.png,332.308,766.686,19.5894,333.757,768.509,2.32792,0.54922
0,70,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,332.086,846.352,NULL,0.54922
0,68,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,324.52,856.367,NULL,0.54922
0,7,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_7.png,387.614,741.08,21.0077,388.944,744.358,3.53792,0.54922
0,63,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_63.png,302.28,901.578,20.0786,305.419,898.032,4.73551,0.54922
0,34,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_34.png,330.372,840.123,19.3824,330.387,838.148,1.97503,0.54922
0,19,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_19.png,332.622,775.281,19.1315,334.605,775.225,1.98409,0.54922
0,60,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_60.png,312.727,929.885,22.2721,314.075,922.848,7.16465,0.54922
